region,instance_type
ap-south-1,c6gd.8xlarge
ap-south-1,m6i.xlarge
ap-south-1,c6i.metal
ap-south-1,c7g.4xlarge
ap-south-1,r7i.metal-48xl
ap-south-1,r6id.large
ap-south-1,d2.2xlarge
ap-south-1,i2.4xlarge
ap-south-1,m7i-flex.4xlarge
ap-south-1,gr6.4xlarge
ap-south-1,p5.48xlarge
ap-south-1,r6i.8xlarge
ap-south-1,r5ad.24xlarge
ap-south-1,m6i.8xlarge
ap-south-1,c6gd.16xlarge
ap-south-1,c6g.xlarge
ap-south-1,r8g.48xlarge
ap-south-1,m6in.2xlarge
ap-south-1,m4.16xlarge
ap-south-1,u-6tb1.56xlarge
ap-south-1,m5a.16xlarge
ap-south-1,r6g.xlarge
ap-south-1,r4.large
ap-south-1,c6gd.large
ap-south-1,m6i.12xlarge
ap-south-1,c4.xlarge
ap-south-1,c7i-flex.2xlarge
ap-south-1,m6a.large
ap-south-1,r5d.8xlarge
ap-south-1,c6in.large
ap-south-1,r3.xlarge
ap-south-1,r7g.metal
ap-south-1,m5.12xlarge
ap-south-1,m5ad.large
ap-south-1,t3.small
ap-south-1,r7gd.xlarge
ap-south-1,r6i.large
ap-south-1,r7i.16xlarge
ap-south-1,c7i.16xlarge
ap-south-1,g5.8xlarge
ap-south-1,r8g.16xlarge
ap-south-1,r5a.16xlarge
ap-south-1,m6gd.metal
ap-south-1,g6.12xlarge
ap-south-1,m5.large
ap-south-1,r5n.2xlarge
ap-south-1,z1d.metal
ap-south-1,r7g.2xlarge
ap-south-1,r5a.8xlarge
ap-south-1,c7i-flex.4xlarge
ap-south-1,m7g.4xlarge
ap-south-1,c6a.24xlarge
ap-south-1,c5n.18xlarge
ap-south-1,x2iedn.8xlarge
ap-south-1,t4g.nano
ap-south-1,c6gd.12xlarge
ap-south-1,r3.4xlarge
ap-south-1,i3.4xlarge
ap-south-1,i4i.large
ap-south-1,i3en.12xlarge
ap-south-1,c5n.9xlarge
ap-south-1,p2.xlarge
ap-south-1,c6gd.medium
ap-south-1,c7i.24xlarge
ap-south-1,m5d.8xlarge
ap-south-1,c7gd.large
ap-south-1,t3.medium
ap-south-1,i3.large
ap-south-1,c5.metal
ap-south-1,t4g.small
ap-south-1,d3.8xlarge
ap-south-1,m7i.8xlarge
ap-south-1,m7g.metal
ap-south-1,c5a.8xlarge
ap-south-1,mac1.metal
ap-south-1,t3a.nano
ap-south-1,m6in.metal
ap-south-1,c5a.24xlarge
ap-south-1,r5n.24xlarge
ap-south-1,m5d.4xlarge
ap-south-1,m7i.4xlarge
ap-south-1,g6.4xlarge
ap-south-1,m6a.metal
ap-south-1,m7i-flex.8xlarge
ap-south-1,r7gd.large
ap-south-1,m7g.medium
ap-south-1,m4.2xlarge
ap-south-1,r5a.xlarge
ap-south-1,r5ad.xlarge
ap-south-1,m6id.xlarge
ap-south-1,m4.xlarge
ap-south-1,inf1.xlarge
ap-south-1,i4i.8xlarge
ap-south-1,m5d.24xlarge
ap-south-1,z1d.3xlarge
ap-south-1,g4dn.8xlarge
ap-south-1,m5.8xlarge
ap-south-1,g4dn.16xlarge
ap-south-1,d3.xlarge
ap-south-1,r5a.2xlarge
ap-south-1,c6in.xlarge
ap-south-1,c6a.12xlarge
ap-south-1,m7i-flex.xlarge
ap-south-1,r6gd.2xlarge
ap-south-1,i3.xlarge
ap-south-1,r5.24xlarge
ap-south-1,m5a.2xlarge
ap-south-1,u-9tb1.112xlarge
ap-south-1,c6g.large
ap-south-1,c7gd.12xlarge
ap-south-1,m7g.2xlarge
ap-south-1,is4gen.4xlarge
ap-south-1,c5n.large
ap-south-1,m6gd.4xlarge
ap-south-1,t2.medium
ap-south-1,a1.xlarge
ap-south-1,m6idn.2xlarge
ap-south-1,c6in.32xlarge
ap-south-1,r7gd.8xlarge
ap-south-1,r4.2xlarge
ap-south-1,c5.4xlarge
ap-south-1,is4gen.large
ap-south-1,m6idn.4xlarge
ap-south-1,c6gd.2xlarge
ap-south-1,i3en.24xlarge
ap-south-1,r6a.12xlarge
ap-south-1,r5d.24xlarge
ap-south-1,r6g.16xlarge
ap-south-1,c6i.large
ap-south-1,i4i.32xlarge
ap-south-1,inf1.24xlarge
ap-south-1,r6id.8xlarge
ap-south-1,r5a.4xlarge
ap-south-1,inf1.6xlarge
ap-south-1,c5a.16xlarge
ap-south-1,m6id.large
ap-south-1,r8g.large
ap-south-1,m6i.32xlarge
ap-south-1,m7i.xlarge
ap-south-1,a1.medium
ap-south-1,c5n.2xlarge
ap-south-1,a1.large
ap-south-1,m5.metal
ap-south-1,c7g.2xlarge
ap-south-1,m5ad.8xlarge
ap-south-1,c6gn.large
ap-south-1,m6gd.2xlarge
ap-south-1,c5d.metal
ap-south-1,r5a.12xlarge
ap-south-1,r6a.2xlarge
ap-south-1,m6id.4xlarge
ap-south-1,r7g.8xlarge
ap-south-1,r7g.xlarge
ap-south-1,r7gd.metal
ap-south-1,m7i-flex.2xlarge
ap-south-1,m6in.32xlarge
ap-south-1,i4i.metal
ap-south-1,r8g.metal-48xl
ap-south-1,m7g.xlarge
ap-south-1,r6g.metal
ap-south-1,c6i.2xlarge
ap-south-1,r5.16xlarge
ap-south-1,m7i-flex.12xlarge
ap-south-1,c6gd.metal
ap-south-1,d2.xlarge
ap-south-1,m6gd.large
ap-south-1,m4.large
ap-south-1,m6idn.xlarge
ap-south-1,p2.8xlarge
ap-south-1,p4d.24xlarge
ap-south-1,r6a.48xlarge
ap-south-1,m6id.2xlarge
ap-south-1,m7i.metal-24xl
ap-south-1,c6g.metal
ap-south-1,t3a.micro
ap-south-1,t2.xlarge
ap-south-1,g4dn.4xlarge
ap-south-1,x2iedn.4xlarge
ap-south-1,c6i.4xlarge
ap-south-1,r8g.12xlarge
ap-south-1,m6idn.24xlarge
ap-south-1,r6gd.large
ap-south-1,r6g.large
ap-south-1,r3.2xlarge
ap-south-1,m5a.24xlarge
ap-south-1,m6in.24xlarge
ap-south-1,g4dn.12xlarge
ap-south-1,p2.16xlarge
ap-south-1,m7gd.4xlarge
ap-south-1,c7i-flex.16xlarge
ap-south-1,c5.12xlarge
ap-south-1,x2idn.24xlarge
ap-south-1,c7i-flex.xlarge
ap-south-1,r7g.large
ap-south-1,c6gn.4xlarge
ap-south-1,r7i.xlarge
ap-south-1,g6.2xlarge
ap-south-1,r5.4xlarge
ap-south-1,m7gd.medium
ap-south-1,r7g.medium
ap-south-1,c6gd.4xlarge
ap-south-1,c6a.large
ap-south-1,m6g.medium
ap-south-1,m5d.xlarge
ap-south-1,r6a.metal
ap-south-1,r3.8xlarge
ap-south-1,g5.xlarge
ap-south-1,m6id.16xlarge
ap-south-1,c4.8xlarge
ap-south-1,r7gd.2xlarge
ap-south-1,c5a.12xlarge
ap-south-1,r5a.large
ap-south-1,m6g.metal
ap-south-1,m6g.large
ap-south-1,r6gd.12xlarge
ap-south-1,c7gd.metal
ap-south-1,i2.8xlarge
ap-south-1,m7g.12xlarge
eu-north-1,c7i.metal-24xl
eu-north-1,m6i.16xlarge
eu-north-1,i3.2xlarge
eu-north-1,c7a.48xlarge
eu-north-1,inf2.8xlarge
eu-north-1,r7gd.medium
eu-north-1,m7gd.16xlarge
eu-north-1,c7g.xlarge
eu-north-1,r8g.4xlarge
eu-north-1,c6in.12xlarge
eu-north-1,m7a.16xlarge
eu-north-1,r6i.12xlarge
eu-north-1,c5.9xlarge
eu-north-1,c7gd.4xlarge
eu-north-1,r6i.32xlarge
eu-north-1,m7a.large
eu-north-1,c7gd.xlarge
eu-north-1,hpc7a.12xlarge
eu-north-1,i4i.4xlarge
eu-north-1,i3en.xlarge
eu-north-1,x2iedn.metal
eu-north-1,c6in.metal
eu-north-1,hpc6a.48xlarge
eu-north-1,c7gd.medium
eu-north-1,x2iedn.24xlarge
eu-north-1,m8g.large
eu-north-1,i4i.12xlarge
eu-north-1,d2.8xlarge
eu-north-1,t3.2xlarge
eu-north-1,r7i.48xlarge
eu-north-1,c7i.large
eu-north-1,r5d.4xlarge
eu-north-1,c5d.2xlarge
eu-north-1,m7i.48xlarge
eu-north-1,m7a.metal-48xl
eu-north-1,r6i.2xlarge
eu-north-1,c7gd.16xlarge
eu-north-1,m6i.2xlarge
eu-north-1,r6g.8xlarge
eu-north-1,inf2.xlarge
eu-north-1,x2idn.16xlarge
eu-north-1,r5n.16xlarge
eu-north-1,r6in.8xlarge
eu-north-1,m6i.metal
eu-north-1,r6in.large
eu-north-1,m6idn.large
eu-north-1,c8g.48xlarge
eu-north-1,r7a.32xlarge
eu-north-1,m7i-flex.large
eu-north-1,c7g.16xlarge
eu-north-1,i3en.large
eu-north-1,m6idn.8xlarge
eu-north-1,c8g.4xlarge
eu-north-1,c7gd.8xlarge
eu-north-1,u-6tb1.112xlarge
eu-north-1,r6gd.medium
eu-north-1,c8g.xlarge
eu-north-1,r7gd.4xlarge
eu-north-1,r7a.12xlarge
eu-north-1,x2iedn.16xlarge
eu-north-1,m6i.24xlarge
eu-north-1,c7g.metal
eu-north-1,c7i-flex.12xlarge
eu-north-1,c5n.4xlarge
eu-north-1,m7a.8xlarge
eu-north-1,c6gn.2xlarge
eu-north-1,x2iedn.xlarge
eu-north-1,r5.metal
eu-north-1,r7a.16xlarge
eu-north-1,c6gn.8xlarge
eu-north-1,m6in.4xlarge
eu-north-1,inf2.48xlarge
eu-north-1,r5d.16xlarge
eu-north-1,t3.nano
eu-north-1,r8g.medium
eu-north-1,r6gd.8xlarge
eu-north-1,c6gn.xlarge
eu-north-1,c7i-flex.8xlarge
eu-north-1,m5.2xlarge
eu-north-1,i3en.3xlarge
eu-north-1,c5a.4xlarge
eu-north-1,c5d.xlarge
eu-north-1,g4dn.xlarge
eu-north-1,m6gd.16xlarge
eu-north-1,c5d.18xlarge
eu-north-1,t3.large
eu-north-1,r5n.4xlarge
eu-north-1,x2iedn.32xlarge
eu-north-1,r5b.16xlarge
eu-north-1,m8g.xlarge
eu-north-1,c5n.metal
eu-north-1,r5n.large
eu-north-1,c6i.xlarge
eu-north-1,r5.large
eu-north-1,r8g.24xlarge
eu-north-1,c7i.2xlarge
eu-north-1,m6idn.32xlarge
eu-north-1,r6gd.metal
eu-north-1,m6g.12xlarge
eu-north-1,c6in.24xlarge
eu-north-1,m6in.large
eu-north-1,r6in.16xlarge
eu-north-1,g5.4xlarge
eu-north-1,r5b.4xlarge
eu-north-1,c7a.xlarge
eu-north-1,c7g.medium
eu-north-1,m7gd.metal
eu-north-1,x2idn.32xlarge
eu-north-1,r5dn.16xlarge
eu-north-1,c6g.medium
eu-north-1,m7a.4xlarge
eu-north-1,t4g.xlarge
eu-north-1,r5d.metal
eu-north-1,i3en.2xlarge
eu-north-1,r6in.metal
eu-north-1,r6in.4xlarge
eu-north-1,r7i.2xlarge
eu-north-1,r6i.24xlarge
eu-north-1,i4i.16xlarge
eu-north-1,r6idn.12xlarge
eu-north-1,m7i-flex.16xlarge
eu-north-1,x2idn.metal
eu-north-1,t4g.medium
eu-north-1,c7i.xlarge
eu-north-1,r7a.48xlarge
eu-north-1,c5d.large
eu-north-1,r5.8xlarge
eu-north-1,r7i.metal-24xl
eu-north-1,m7g.large
eu-north-1,r8g.8xlarge
eu-north-1,r5d.xlarge
eu-north-1,i4i.24xlarge
eu-north-1,r8g.2xlarge
eu-north-1,m6g.4xlarge
eu-north-1,r8g.metal-24xl
eu-north-1,r6g.4xlarge
eu-north-1,m5d.large
eu-north-1,m6gd.8xlarge
eu-north-1,m7i.12xlarge
eu-north-1,r7a.medium
eu-north-1,r7i.4xlarge
eu-north-1,c7a.4xlarge
eu-north-1,m8g.8xlarge
eu-north-1,m7gd.12xlarge
eu-north-1,t4g.large
eu-north-1,c6g.4xlarge
eu-north-1,r6in.32xlarge
eu-north-1,c6i.12xlarge
eu-north-1,c7a.medium
eu-north-1,r7a.xlarge
eu-north-1,m8g.medium
eu-north-1,m6in.16xlarge
eu-north-1,m7i.24xlarge
eu-north-1,m7i.metal-48xl
eu-north-1,r7gd.12xlarge
eu-north-1,r7gd.16xlarge
eu-north-1,m7i.2xlarge
eu-north-1,r6idn.8xlarge
eu-north-1,r6g.2xlarge
eu-north-1,m7i.large
eu-north-1,r5b.2xlarge
eu-north-1,r7a.large
eu-north-1,c7i.48xlarge
eu-north-1,r5n.8xlarge
eu-north-1,r5d.12xlarge
eu-north-1,m6in.12xlarge
eu-north-1,c7gd.2xlarge
eu-north-1,m6gd.12xlarge
eu-north-1,x2iedn.2xlarge
eu-north-1,r7g.12xlarge
eu-north-1,c7i.4xlarge
eu-north-1,r5.xlarge
eu-north-1,t4g.micro
eu-north-1,g6.16xlarge
eu-north-1,r7i.8xlarge
eu-north-1,r6i.4xlarge
eu-north-1,i3en.6xlarge
eu-north-1,m6i.large
eu-north-1,c5d.4xlarge
eu-north-1,c7i.12xlarge
eu-north-1,r6gd.4xlarge
eu-north-1,m6i.4xlarge
eu-north-1,c6in.16xlarge
eu-north-1,m7a.24xlarge
eu-north-1,r7g.4xlarge
eu-north-1,r6i.metal
eu-north-1,r5n.12xlarge
eu-north-1,m8g.metal-48xl
eu-north-1,m7a.medium
eu-north-1,gr6.8xlarge
eu-north-1,r6gd.16xlarge
eu-north-1,m7gd.xlarge
eu-north-1,g6.8xlarge
eu-north-1,m8g.24xlarge
eu-north-1,c8g.metal-48xl
eu-north-1,t4g.2xlarge
eu-north-1,r7i.24xlarge
eu-north-1,m8g.16xlarge
eu-north-1,m6gd.xlarge
eu-north-1,c6gn.12xlarge
eu-north-1,r5d.large
eu-north-1,g4dn.metal
eu-north-1,r5n.xlarge
eu-north-1,m5.24xlarge
eu-north-1,g5.24xlarge
eu-north-1,c5d.9xlarge
eu-north-1,c6i.24xlarge
eu-north-1,m8g.2xlarge
eu-north-1,c5.24xlarge
eu-north-1,c6g.12xlarge
eu-north-1,r6idn.32xlarge
eu-north-1,m6in.8xlarge
eu-north-1,m6g.16xlarge
eu-north-1,c6gn.16xlarge
eu-north-1,m8g.4xlarge
eu-north-1,c6in.8xlarge
eu-north-1,c8g.12xlarge
eu-north-1,i3.16xlarge
eu-north-1,inf2.24xlarge
eu-north-1,m7a.12xlarge
eu-north-1,r5b.large
eu-north-1,c7i.8xlarge
eu-north-1,c7g.8xlarge
eu-north-1,c6in.2xlarge
eu-north-1,m5.xlarge
eu-north-1,c8g.large
eu-north-1,c5.18xlarge
eu-north-1,c7g.large
eu-north-1,r6in.2xlarge
eu-north-1,t3.xlarge
eu-north-1,m7gd.2xlarge
eu-north-1,i4i.xlarge
eu-north-1,m5d.12xlarge
eu-north-1,r6idn.24xlarge
eu-north-1,c6g.16xlarge
eu-north-1,c5.large
eu-north-1,m6idn.12xlarge
eu-north-1,c7i.metal-48xl
eu-north-1,m7a.2xlarge
eu-north-1,r5dn.metal
eu-north-1,m6g.8xlarge
eu-north-1,m5d.metal
eu-north-1,g4dn.2xlarge
eu-north-1,c7a.32xlarge
eu-north-1,r5dn.24xlarge
eu-north-1,c7g.12xlarge
eu-north-1,g5.2xlarge
eu-north-1,c7a.24xlarge
eu-north-1,c5a.large
eu-north-1,m6idn.metal
eu-north-1,c5d.12xlarge
eu-north-1,r7a.4xlarge
eu-north-1,c5.2xlarge
eu-north-1,m7g.16xlarge
eu-north-1,c6i.16xlarge
eu-north-1,m6g.2xlarge
eu-north-1,g5.16xlarge
eu-north-1,c6i.32xlarge
eu-north-1,m5.16xlarge
eu-north-1,g6.xlarge
eu-north-1,c6in.4xlarge
eu-north-1,c5a.2xlarge
eu-north-1,m7gd.8xlarge
eu-north-1,c8g.24xlarge
eu-north-1,g6.48xlarge
eu-north-1,r5.12xlarge
eu-north-1,c5.xlarge
eu-north-1,r7i.large
eu-north-1,r6idn.xlarge
eu-north-1,m7g.8xlarge
eu-north-1,r6g.12xlarge
eu-north-1,r6idn.4xlarge
eu-north-1,g5.48xlarge
eu-north-1,m6idn.16xlarge
eu-north-1,r6i.16xlarge
eu-north-1,i3.8xlarge
eu-north-1,c6i.8xlarge
eu-north-1,m5.4xlarge
eu-north-1,d2.4xlarge
eu-north-1,g6.24xlarge
eu-north-1,r7i.12xlarge
eu-north-1,r6g.medium
eu-north-1,r5.2xlarge
eu-north-1,c6g.8xlarge
eu-north-1,c5a.xlarge
eu-north-1,m7gd.large
eu-north-1,c8g.16xlarge
eu-north-1,c5n.xlarge
eu-north-1,m5d.16xlarge
eu-north-1,c6g.2xlarge
